species,parent1,parent2,offspring,prob
rose,rryywwSs,rryyWwSS,rryyWwSs,0.25
rose,rryywwSs,rryyWwSS,rryywwSS,0.25
rose,rryywwSs,rryyWwSS,rryywwSs,0.25
rose,rryywwSS,rryyWwSS,rryyWwSS,0.5
rose,rryywwSS,rryyWwSS,rryywwSS,0.5
rose,rryyWwss,rryyWwSS,rryyWwSs,0.5
rose,rryyWwss,rryyWwSS,rryyWWSs,0.25
rose,rryyWwss,rryyWwSS,rryywwSs,0.25
rose,rryyWwSs,rryyWwSS,rryyWwSS,0.25
rose,rryyWwSs,rryyWwSS,rryyWwSs,0.25
rose,rryyWwSs,rryyWwSS,rryyWWSS,0.125
rose,rryyWwSs,rryyWwSS,rryyWWSs,0.125
rose,rryyWwSs,rryyWwSS,rryywwSS,0.125
rose,rryyWwSs,rryyWwSS,rryywwSs,0.125
rose,rryyWwSS,rryyWwSS,rryyWwSS,0.5
rose,rryyWwSS,rryyWwSS,rryyWWSS,0.25
rose,rryyWwSS,rryyWwSS,rryywwSS,0.25
rose,rryywwss,rryyWWss,rryyWwss,1
rose,rryywwSs,rryyWWss,rryyWwSs,0.5
rose,rryywwSs,rryyWWss,rryyWwss,0.5
rose,rryywwSS,rryyWWss,rryyWwSs,1
rose,rryyWwss,rryyWWss,rryyWWss,0.5
rose,rryyWwss,rryyWWss,rryyWwss,0.5
rose,rryyWwSs,rryyWWss,rryyWWSs,0.25
rose,rryyWwSs,rryyWWss,rryyWWss,0.25
rose,rryyWwSs,rryyWWss,rryyWwSs,0.25
rose,rryyWwSs,rryyWWss,rryyWwss,0.25
rose,rryyWwSS,rryyWWss,rryyWWSs,0.5
rose,rryyWwSS,rryyWWss,rryyWwSs,0.5
rose,rryyWWss,rryyWWss,rryyWWss,1
rose,rryywwss,rryyWWSs,rryyWwSs,0.5
rose,rryywwss,rryyWWSs,rryyWwss,0.5
rose,rryywwSs,rryyWWSs,rryyWwSs,0.5
rose,rryywwSs,rryyWWSs,rryyWwSS,0.25
rose,rryywwSs,rryyWWSs,rryyWwss,0.25
rose,rryywwSS,rryyWWSs,rryyWwSS,0.5
rose,rryywwSS,rryyWWSs,rryyWwSs,0.5
rose,rryyWwss,rryyWWSs,rryyWWSs,0.25
rose,rryyWwss,rryyWWSs,rryyWWss,0.25
rose,rryyWwss,rryyWWSs,rryyWwSs,0.25
rose,rryyWwss,rryyWWSs,rryyWwss,0.25
rose,rryyWwSs,rryyWWSs,rryyWWSs,0.25
rose,rryyWwSs,rryyWWSs,rryyWwSs,0.25
rose,rryyWwSs,rryyWWSs,rryyWWSS,0.125
rose,rryyWwSs,rryyWWSs,rryyWWss,0.125
rose,rryyWwSs,rryyWWSs,rryyWwSS,0.125
rose,rryyWwSs,rryyWWSs,rryyWwss,0.125
rose,rryyWwSS,rryyWWSs,rryyWWSS,0.25
rose,rryyWwSS,rryyWWSs,rryyWWSs,0.25
rose,rryyWwSS,rryyWWSs,rryyWwSS,0.25
rose,rryyWwSS,rryyWWSs,rryyWwSs,0.25
rose,rryyWWss,rryyWWSs,rryyWWSs,0.5
rose,rryyWWss,rryyWWSs,rryyWWss,0.5
rose,rryyWWSs,rryyWWSs,rryyWWSs,0.5
rose,rryyWWSs,rryyWWSs,rryyWWSS,0.25
rose,rryyWWSs,rryyWWSs,rryyWWss,0.25
rose,rryywwss,rryyWWSS,rryyWwSs,1
rose,rryywwSs,rryyWWSS,rryyWwSS,0.5
rose,rryywwSs,rryyWWSS,rryyWwSs,0.5
rose,rryywwSS,rryyWWSS,rryyWwSS,1
rose,rryyWwss,rryyWWSS,rryyWWSs,0.5
rose,rryyWwss,rryyWWSS,rryyWwSs,0.5
rose,rryyWwSs,rryyWWSS,rryyWWSS,0.25
rose,rryyWwSs,rryyWWSS,rryyWWSs,0.25
rose,rryyWwSs,rryyWWSS,rryyWwSS,0.25
rose,rryyWwSs,rryyWWSS,rryyWwSs,0.25
rose,rryyWwSS,rryyWWSS,rryyWWSS,0.5
rose,rryyWwSS,rryyWWSS,rryyWwSS,0.5
rose,rryyWWss,rryyWWSS,rryyWWSs,1
rose,rryyWWSs,rryyWWSS,rryyWWSS,0.5
rose,rryyWWSs,rryyWWSS,rryyWWSs,0.5
rose,rryyWWSS,rryyWWSS,rryyWWSS,1
rose,rryywwss,rrYywwss,rrYywwss,0.5
rose,rryywwss,rrYywwss,rryywwss,0.5
rose,rryywwSs,rrYywwss,rrYywwSs,0.25
rose,rryywwSs,rrYywwss,rrYywwss,0.25
rose,rryywwSs,rrYywwss,rryywwSs,0.25
rose,rryywwSs,rrYywwss,rryywwss,0.25
rose,rryywwSS,rrYywwss,rrYywwSs,0.5
rose,rryywwSS,rrYywwss,rryywwSs,0.5
rose,rryyWwss,rrYywwss,rrYyWwss,0.25
rose,rryyWwss,rrYywwss,rrYywwss,0.25
rose,rryyWwss,rrYywwss,rryyWwss,0.25
rose,rryyWwss,rrYywwss,rryywwss,0.25
rose,rryyWwSs,rrYywwss,rrYyWwSs,0.125
rose,rryyWwSs,rrYywwss,rrYyWwss,0.125
rose,rryyWwSs,rrYywwss,rrYywwSs,0.125
rose,rryyWwSs,rrYywwss,rrYywwss,0.125
rose,rryyWwSs,rrYywwss,rryyWwSs,0.125
rose,rryyWwSs,rrYywwss,rryyWwss,0.125
rose,rryyWwSs,rrYywwss,rryywwSs,0.125
rose,rryyWwSs,rrYywwss,rryywwss,0.125
rose,rryyWwSS,rrYywwss,rrYyWwSs,0.25
rose,rryyWwSS,rrYywwss,rrYywwSs,0.25
rose,rryyWwSS,rrYywwss,rryyWwSs,0.25
rose,rryyWwSS,rrYywwss,rryywwSs,0.25
rose,rryyWWss,rrYywwss,rrYyWwss,0.5
rose,rryyWWss,rrYywwss,rryyWwss,0.5
rose,rryyWWSs,rrYywwss,rrYyWwSs,0.25
rose,rryyWWSs,rrYywwss,rrYyWwss,0.25
rose,rryyWWSs,rrYywwss,rryyWwSs,0.25
rose,rryyWWSs,rrYywwss,rryyWwss,0.25
rose,rryyWWSS,rrYywwss,rrYyWwSs,0.5
rose,rryyWWSS,rrYywwss,rryyWwSs,0.5
rose,rrYywwss,rrYywwss,rrYywwss,0.5
rose,rrYywwss,rrYywwss,rrYYwwss,0.25
rose,rrYywwss,rrYywwss,rryywwss,0.25
rose,rryywwss,rrYywwSs,rrYywwSs,0.25
rose,rryywwss,rrYywwSs,rrYywwss,0.25
rose,rryywwss,rrYywwSs,rryywwSs,0.25
rose,rryywwss,rrYywwSs,rryywwss,0.25
rose,rryywwSs,rrYywwSs,rrYywwSs,0.25
rose,rryywwSs,rrYywwSs,rryywwSs,0.25
rose,rryywwSs,rrYywwSs,rrYywwSS,0.125
rose,rryywwSs,rrYywwSs,rrYywwss,0.125
rose,rryywwSs,rrYywwSs,rryywwSS,0.125
rose,rryywwSs,rrYywwSs,rryywwss,0.125
rose,rryywwSS,rrYywwSs,rrYywwSS,0.25
rose,rryywwSS,rrYywwSs,rrYywwSs,0.25
rose,rryywwSS,rrYywwSs,rryywwSS,0.25
rose,rryywwSS,rrYywwSs,rryywwSs,0.25
rose,rryyWwss,rrYywwSs,rrYyWwSs,0.125
rose,rryyWwss,rrYywwSs,rrYyWwss,0.125
rose,rryyWwss,rrYywwSs,rrYywwSs,0.125
rose,rryyWwss,rrYywwSs,rrYywwss,0.125
rose,rryyWwss,rrYywwSs,rryyWwSs,0.125
rose,rryyWwss,rrYywwSs,rryyWwss,0.125
rose,rryyWwss,rrYywwSs,rryywwSs,0.125
rose,rryyWwss,rrYywwSs,rryywwss,0.125
rose,rryyWwSs,rrYywwSs,rrYyWwSs,0.125
rose,rryyWwSs,rrYywwSs,rrYywwSs,0.125
rose,rryyWwSs,rrYywwSs,rryyWwSs,0.125
rose,rryyWwSs,rrYywwSs,rryywwSs,0.125
rose,rryyWwSs,rrYywwSs,rrYyWwSS,0.0625
rose,rryyWwSs,rrYywwSs,rrYyWwss,0.0625
rose,rryyWwSs,rrYywwSs,rrYywwSS,0.0625
rose,rryyWwSs,rrYywwSs,rrYywwss,0.0625
rose,rryyWwSs,rrYywwSs,rryyWwSS,0.0625
rose,rryyWwSs,rrYywwSs,rryyWwss,0.0625
rose,rryyWwSs,rrYywwSs,rryywwSS,0.0625
rose,rryyWwSs,rrYywwSs,rryywwss,0.0625
rose,rryyWwSS,rrYywwSs,rrYyWwSS,0.125
rose,rryyWwSS,rrYywwSs,rrYyWwSs,0.125
rose,rryyWwSS,rrYywwSs,rrYywwSS,0.125
rose,rryyWwSS,rrYywwSs,rrYywwSs,0.125
rose,rryyWwSS,rrYywwSs,rryyWwSS,0.125
rose,rryyWwSS,rrYywwSs,rryyWwSs,0.125
rose,rryyWwSS,rrYywwSs,rryywwSS,0.125
rose,rryyWwSS,rrYywwSs,rryywwSs,0.125
rose,rryyWWss,rrYywwSs,rrYyWwSs,0.25
rose,rryyWWss,rrYywwSs,rrYyWwss,0.25
rose,rryyWWss,rrYywwSs,rryyWwSs,0.25
rose,rryyWWss,rrYywwSs,rryyWwss,0.25
rose,rryyWWSs,rrYywwSs,rrYyWwSs,0.25
rose,rryyWWSs,rrYywwSs,rryyWwSs,0.25
rose,rryyWWSs,rrYywwSs,rrYyWwSS,0.125
rose,rryyWWSs,rrYywwSs,rrYyWwss,0.125
rose,rryyWWSs,rrYywwSs,rryyWwSS,0.125
rose,rryyWWSs,rrYywwSs,rryyWwss,0.125
rose,rryyWWSS,rrYywwSs,rrYyWwSS,0.25
rose,rryyWWSS,rrYywwSs,rrYyWwSs,0.25
rose,rryyWWSS,rrYywwSs,rryyWwSS,0.25
rose,rryyWWSS,rrYywwSs,rryyWwSs,0.25
rose,rrYywwss,rrYywwSs,rrYywwSs,0.25
rose,rrYywwss,rrYywwSs,rrYywwss,0.25
rose,rrYywwss,rrYywwSs,rrYYwwSs,0.125
rose,rrYywwss,rrYywwSs,rrYYwwss,0.125
rose,rrYywwss,rrYywwSs,rryywwSs,0.125
rose,rrYywwss,rrYywwSs,rryywwss,0.125
rose,rrYywwSs,rrYywwSs,rrYywwSs,0.25
rose,rrYywwSs,rrYywwSs,rrYYwwSs,0.125
rose,rrYywwSs,rrYywwSs,rrYywwSS,0.125
rose,rrYywwSs,rrYywwSs,rrYywwss,0.125
rose,rrYywwSs,rrYywwSs,rryywwSs,0.125
rose,rrYywwSs,rrYywwSs,rrYYwwSS,0.0625
rose,rrYywwSs,rrYywwSs,rrYYwwss,0.0625
rose,rrYywwSs,rrYywwSs,rryywwSS,0.0625
rose,rrYywwSs,rrYywwSs,rryywwss,0.0625
rose,rryywwss,rrYywwSS,rrYywwSs,0.5
rose,rryywwss,rrYywwSS,rryywwSs,0.5
rose,rryywwSs,rrYywwSS,rrYywwSS,0.25
rose,rryywwSs,rrYywwSS,rrYywwSs,0.25
rose,rryywwSs,rrYywwSS,rryywwSS,0.25
rose,rryywwSs,rrYywwSS,rryywwSs,0.25
rose,rryywwSS,rrYywwSS,rrYywwSS,0.5
rose,rryywwSS,rrYywwSS,rryywwSS,0.5
rose,rryyWwss,rrYywwSS,rrYyWwSs,0.25
rose,rryyWwss,rrYywwSS,rrYywwSs,0.25
rose,rryyWwss,rrYywwSS,rryyWwSs,0.25
rose,rryyWwss,rrYywwSS,rryywwSs,0.25
rose,rryyWwSs,rrYywwSS,rrYyWwSS,0.125
rose,rryyWwSs,rrYywwSS,rrYyWwSs,0.125
rose,rryyWwSs,rrYywwSS,rrYywwSS,0.125
rose,rryyWwSs,rrYywwSS,rrYywwSs,0.125
rose,rryyWwSs,rrYywwSS,rryyWwSS,0.125
rose,rryyWwSs,rrYywwSS,rryyWwSs,0.125
rose,rryyWwSs,rrYywwSS,rryywwSS,0.125
rose,rryyWwSs,rrYywwSS,rryywwSs,0.125
rose,rryyWwSS,rrYywwSS,rrYyWwSS,0.25
rose,rryyWwSS,rrYywwSS,rrYywwSS,0.25
rose,rryyWwSS,rrYywwSS,rryyWwSS,0.25
rose,rryyWwSS,rrYywwSS,rryywwSS,0.25
rose,rryyWWss,rrYywwSS,rrYyWwSs,0.5
rose,rryyWWss,rrYywwSS,rryyWwSs,0.5
rose,rryyWWSs,rrYywwSS,rrYyWwSS,0.25
rose,rryyWWSs,rrYywwSS,rrYyWwSs,0.25
rose,rryyWWSs,rrYywwSS,rryyWwSS,0.25
rose,rryyWWSs,rrYywwSS,rryyWwSs,0.25
rose,rryyWWSS,rrYywwSS,rrYyWwSS,0.5
rose,rryyWWSS,rrYywwSS,rryyWwSS,0.5
rose,rrYywwss,rrYywwSS,rrYywwSs,0.5
rose,rrYywwss,rrYywwSS,rrYYwwSs,0.25
rose,rrYywwss,rrYywwSS,rryywwSs,0.25
rose,rrYywwSs,rrYywwSS,rrYywwSS,0.25
rose,rrYywwSs,rrYywwSS,rrYywwSs,0.25
rose,rrYywwSs,rrYywwSS,rrYYwwSS,0.125
rose,rrYywwSs,rrYywwSS,rrYYwwSs,0.125
rose,rrYywwSs,rrYywwSS,rryywwSS,0.125
rose,rrYywwSs,rrYywwSS,rryywwSs,0.125
rose,rrYywwSS,rrYywwSS,rrYywwSS,0.5
rose,rrYywwSS,rrYywwSS,rrYYwwSS,0.25
rose,rrYywwSS,rrYywwSS,rryywwSS,0.25
rose,rryywwss,rrYyWwss,rrYyWwss,0.25
rose,rryywwss,rrYyWwss,rrYywwss,0.25
rose,rryywwss,rrYyWwss,rryyWwss,0.25
rose,rryywwss,rrYyWwss,rryywwss,0.25
rose,rryywwSs,rrYyWwss,rrYyWwSs,0.125
rose,rryywwSs,rrYyWwss,rrYyWwss,0.125
rose,rryywwSs,rrYyWwss,rrYywwSs,0.125
rose,rryywwSs,rrYyWwss,rrYywwss,0.125
rose,rryywwSs,rrYyWwss,rryyWwSs,0.125
rose,rryywwSs,rrYyWwss,rryyWwss,0.125
rose,rryywwSs,rrYyWwss,rryywwSs,0.125
rose,rryywwSs,rrYyWwss,rryywwss,0.125
rose,rryywwSS,rrYyWwss,rrYyWwSs,0.25
rose,rryywwSS,rrYyWwss,rrYywwSs,0.25
rose,rryywwSS,rrYyWwss,rryyWwSs,0.25
rose,rryywwSS,rrYyWwss,rryywwSs,0.25
rose,rryyWwss,rrYyWwss,rrYyWwss,0.25
rose,rryyWwss,rrYyWwss,rryyWwss,0.25
rose,rryyWwss,rrYyWwss,rrYyWWss,0.125
rose,rryyWwss,rrYyWwss,rrYywwss,0.125
rose,rryyWwss,rrYyWwss,rryyWWss,0.125
rose,rryyWwss,rrYyWwss,rryywwss,0.125
rose,rryyWwSs,rrYyWwss,rrYyWwSs,0.125
rose,rryyWwSs,rrYyWwss,rrYyWwss,0.125
rose,rryyWwSs,rrYyWwss,rryyWwSs,0.125
rose,rryyWwSs,rrYyWwss,rryyWwss,0.125
rose,rryyWwSs,rrYyWwss,rrYyWWSs,0.0625
rose,rryyWwSs,rrYyWwss,rrYyWWss,0.0625
rose,rryyWwSs,rrYyWwss,rrYywwSs,0.0625
rose,rryyWwSs,rrYyWwss,rrYywwss,0.0625
rose,rryyWwSs,rrYyWwss,rryyWWSs,0.0625
rose,rryyWwSs,rrYyWwss,rryyWWss,0.0625
rose,rryyWwSs,rrYyWwss,rryywwSs,0.0625
rose,rryyWwSs,rrYyWwss,rryywwss,0.0625
rose,rryyWwSS,rrYyWwss,rrYyWwSs,0.25
rose,rryyWwSS,rrYyWwss,rryyWwSs,0.25
rose,rryyWwSS,rrYyWwss,rrYyWWSs,0.125
rose,rryyWwSS,rrYyWwss,rrYywwSs,0.125
rose,rryyWwSS,rrYyWwss,rryyWWSs,0.125
rose,rryyWwSS,rrYyWwss,rryywwSs,0.125
rose,rryyWWss,rrYyWwss,rrYyWWss,0.25
rose,rryyWWss,rrYyWwss,rrYyWwss,0.25
rose,rryyWWss,rrYyWwss,rryyWWss,0.25
rose,rryyWWss,rrYyWwss,rryyWwss,0.25
rose,rryyWWSs,rrYyWwss,rrYyWWSs,0.125
rose,rryyWWSs,rrYyWwss,rrYyWWss,0.125
rose,rryyWWSs,rrYyWwss,rrYyWwSs,0.125
rose,rryyWWSs,rrYyWwss,rrYyWwss,0.125
rose,rryyWWSs,rrYyWwss,rryyWWSs,0.125
rose,rryyWWSs,rrYyWwss,rryyWWss,0.125
rose,rryyWWSs,rrYyWwss,rryyWwSs,0.125
rose,rryyWWSs,rrYyWwss,rryyWwss,0.125
rose,rryyWWSS,rrYyWwss,rrYyWWSs,0.25
rose,rryyWWSS,rrYyWwss,rrYyWwSs,0.25
rose,rryyWWSS,rrYyWwss,rryyWWSs,0.25
rose,rryyWWSS,rrYyWwss,rryyWwSs,0.25
rose,rrYywwss,rrYyWwss,rrYyWwss,0.25
rose,rrYywwss,rrYyWwss,rrYywwss,0.25
rose,rrYywwss,rrYyWwss,rrYYWwss,0.125
rose,rrYywwss,rrYyWwss,rrYYwwss,0.125
rose,rrYywwss,rrYyWwss,rryyWwss,0.125
rose,rrYywwss,rrYyWwss,rryywwss,0.125
rose,rrYywwSs,rrYyWwss,rrYyWwSs,0.125
rose,rrYywwSs,rrYyWwss,rrYyWwss,0.125
rose,rrYywwSs,rrYyWwss,rrYywwSs,0.125
rose,rrYywwSs,rrYyWwss,rrYywwss,0.125
rose,rrYywwSs,rrYyWwss,rrYYWwSs,0.0625
rose,rrYywwSs,rrYyWwss,rrYYWwss,0.0625
rose,rrYywwSs,rrYyWwss,rrYYwwSs,0.0625
rose,rrYywwSs,rrYyWwss,rrYYwwss,0.0625
rose,rrYywwSs,rrYyWwss,rryyWwSs,0.0625
rose,rrYywwSs,rrYyWwss,rryyWwss,0.0625
rose,rrYywwSs,rrYyWwss,rryywwSs,0.0625
rose,rrYywwSs,rrYyWwss,rryywwss,0.0625
rose,rrYywwSS,rrYyWwss,rrYyWwSs,0.25
rose,rrYywwSS,rrYyWwss,rrYywwSs,0.25
rose,rrYywwSS,rrYyWwss,rrYYWwSs,0.125
rose,rrYywwSS,rrYyWwss,rrYYwwSs,0.125
rose,rrYywwSS,rrYyWwss,rryyWwSs,0.125
rose,rrYywwSS,rrYyWwss,rryywwSs,0.125
rose,rrYyWwss,rrYyWwss,rrYyWwss,0.25
rose,rrYyWwss,rrYyWwss,rrYYWwss,0.125
rose,rrYyWwss,rrYyWwss,rrYyWWss,0.125
rose,rrYyWwss,rrYyWwss,rrYywwss,0.125
rose,rrYyWwss,rrYyWwss,rryyWwss,0.125
rose,rrYyWwss,rrYyWwss,rrYYWWss,0.0625
rose,rrYyWwss,rrYyWwss,rrYYwwss,0.0625
rose,rrYyWwss,rrYyWwss,rryyWWss,0.0625
rose,rrYyWwss,rrYyWwss,rryywwss,0.0625
rose,rryywwss,rrYyWwSs,rrYyWwSs,0.125
rose,rryywwss,rrYyWwSs,rrYyWwss,0.125
rose,rryywwss,rrYyWwSs,rrYywwSs,0.125
rose,rryywwss,rrYyWwSs,rrYywwss,0.125
rose,rryywwss,rrYyWwSs,rryyWwSs,0.125
rose,rryywwss,rrYyWwSs,rryyWwss,0.125
rose,rryywwss,rrYyWwSs,rryywwSs,0.125
rose,rryywwss,rrYyWwSs,rryywwss,0.125
rose,rryywwSs,rrYyWwSs,rrYyWwSs,0.125
rose,rryywwSs,rrYyWwSs,rrYywwSs,0.125
rose,rryywwSs,rrYyWwSs,rryyWwSs,0.125
rose,rryywwSs,rrYyWwSs,rryywwSs,0.125
rose,rryywwSs,rrYyWwSs,rrYyWwSS,0.0625
rose,rryywwSs,rrYyWwSs,rrYyWwss,0.0625
rose,rryywwSs,rrYyWwSs,rrYywwSS,0.0625
rose,rryywwSs,rrYyWwSs,rrYywwss,0.0625
rose,rryywwSs,rrYyWwSs,rryyWwSS,0.0625
rose,rryywwSs,rrYyWwSs,rryyWwss,0.0625
rose,rryywwSs,rrYyWwSs,rryywwSS,0.0625
rose,rryywwSs,rrYyWwSs,rryywwss,0.0625
rose,rryywwSS,rrYyWwSs,rrYyWwSS,0.125
rose,rryywwSS,rrYyWwSs,rrYyWwSs,0.125
rose,rryywwSS,rrYyWwSs,rrYywwSS,0.125
rose,rryywwSS,rrYyWwSs,rrYywwSs,0.125
rose,rryywwSS,rrYyWwSs,rryyWwSS,0.125
rose,rryywwSS,rrYyWwSs,rryyWwSs,0.125
rose,rryywwSS,rrYyWwSs,rryywwSS,0.125
rose,rryywwSS,rrYyWwSs,rryywwSs,0.125
rose,rryyWwss,rrYyWwSs,rrYyWwSs,0.125
rose,rryyWwss,rrYyWwSs,rrYyWwss,0.125
rose,rryyWwss,rrYyWwSs,rryyWwSs,0.125
rose,rryyWwss,rrYyWwSs,rryyWwss,0.125
rose,rryyWwss,rrYyWwSs,rrYyWWSs,0.0625
rose,rryyWwss,rrYyWwSs,rrYyWWss,0.0625
rose,rryyWwss,rrYyWwSs,rrYywwSs,0.0625
rose,rryyWwss,rrYyWwSs,rrYywwss,0.0625
rose,rryyWwss,rrYyWwSs,rryyWWSs,0.0625
rose,rryyWwss,rrYyWwSs,rryyWWss,0.0625
rose,rryyWwss,rrYyWwSs,rryywwSs,0.0625
rose,rryyWwss,rrYyWwSs,rryywwss,0.0625
rose,rryyWwSs,rrYyWwSs,rrYyWwSs,0.125
rose,rryyWwSs,rrYyWwSs,rryyWwSs,0.125
rose,rryyWwSs,rrYyWwSs,rrYyWWSs,0.0625
rose,rryyWwSs,rrYyWwSs,rrYyWwSS,0.0625
rose,rryyWwSs,rrYyWwSs,rrYyWwss,0.0625
rose,rryyWwSs,rrYyWwSs,rrYywwSs,0.0625
rose,rryyWwSs,rrYyWwSs,rryyWWSs,0.0625
rose,rryyWwSs,rrYyWwSs,rryyWwSS,0.0625
rose,rryyWwSs,rrYyWwSs,rryyWwss,0.0625
rose,rryyWwSs,rrYyWwSs,rryywwSs,0.0625
rose,rryyWwSs,rrYyWwSs,rrYyWWSS,0.03125
rose,rryyWwSs,rrYyWwSs,rrYyWWss,0.03125
rose,rryyWwSs,rrYyWwSs,rrYywwSS,0.03125
rose,rryyWwSs,rrYyWwSs,rrYywwss,0.03125
rose,rryyWwSs,rrYyWwSs,rryyWWSS,0.03125
rose,rryyWwSs,rrYyWwSs,rryyWWss,0.03125
rose,rryyWwSs,rrYyWwSs,rryywwSS,0.03125
rose,rryyWwSs,rrYyWwSs,rryywwss,0.03125
rose,rryyWwSS,rrYyWwSs,rrYyWwSS,0.125
rose,rryyWwSS,rrYyWwSs,rrYyWwSs,0.125
rose,rryyWwSS,rrYyWwSs,rryyWwSS,0.125
rose,rryyWwSS,rrYyWwSs,rryyWwSs,0.125
rose,rryyWwSS,rrYyWwSs,rrYyWWSS,0.0625
rose,rryyWwSS,rrYyWwSs,rrYyWWSs,0.0625
rose,rryyWwSS,rrYyWwSs,rrYywwSS,0.0625
rose,rryyWwSS,rrYyWwSs,rrYywwSs,0.0625
rose,rryyWwSS,rrYyWwSs,rryyWWSS,0.0625
rose,rryyWwSS,rrYyWwSs,rryyWWSs,0.0625
rose,rryyWwSS,rrYyWwSs,rryywwSS,0.0625
rose,rryyWwSS,rrYyWwSs,rryywwSs,0.0625
rose,rryyWWss,rrYyWwSs,rrYyWWSs,0.125
rose,rryyWWss,rrYyWwSs,rrYyWWss,0.125
rose,rryyWWss,rrYyWwSs,rrYyWwSs,0.125
rose,rryyWWss,rrYyWwSs,rrYyWwss,0.125
rose,rryyWWss,rrYyWwSs,rryyWWSs,0.125
rose,rryyWWss,rrYyWwSs,rryyWWss,0.125
rose,rryyWWss,rrYyWwSs,rryyWwSs,0.125
rose,rryyWWss,rrYyWwSs,rryyWwss,0.125
rose,rryyWWSs,rrYyWwSs,rrYyWWSs,0.125
rose,rryyWWSs,rrYyWwSs,rrYyWwSs,0.125
rose,rryyWWSs,rrYyWwSs,rryyWWSs,0.125
rose,rryyWWSs,rrYyWwSs,rryyWwSs,0.125
rose,rryyWWSs,rrYyWwSs,rrYyWWSS,0.0625
rose,rryyWWSs,rrYyWwSs,rrYyWWss,0.0625
rose,rryyWWSs,rrYyWwSs,rrYyWwSS,0.0625
rose,rryyWWSs,rrYyWwSs,rrYyWwss,0.0625
rose,rryyWWSs,rrYyWwSs,rryyWWSS,0.0625
rose,rryyWWSs,rrYyWwSs,rryyWWss,0.0625
rose,rryyWWSs,rrYyWwSs,rryyWwSS,0.0625
rose,rryyWWSs,rrYyWwSs,rryyWwss,0.0625
rose,rryyWWSS,rrYyWwSs,rrYyWWSS,0.125
rose,rryyWWSS,rrYyWwSs,rrYyWWSs,0.125
rose,rryyWWSS,rrYyWwSs,rrYyWwSS,0.125
rose,rryyWWSS,rrYyWwSs,rrYyWwSs,0.125
rose,rryyWWSS,rrYyWwSs,rryyWWSS,0.125
rose,rryyWWSS,rrYyWwSs,rryyWWSs,0.125
